/home/mehman_1919_0839/ogbn_proj/venv/lib/python3.11/site-packages/torch_geometric/loader/neighbor_loader.py:229: UserWarning: Using 'NeighborSampler' without a 'pyg-lib' installation is deprecated and will be removed soon. Please install 'pyg-lib' for accelerated neighborhood sampling
  neighbor_sampler = NeighborSampler(
Baseline ROC-AUC: val=0.7547, test=0.7026
Epoch 1: train_loss=2.4227, val_auc=0.6194
Epoch 2: train_loss=0.3871, val_auc=0.6691
Epoch 3: train_loss=0.3590, val_auc=0.6664
Epoch 4: train_loss=0.3533, val_auc=0.6774
Epoch 5: train_loss=0.3495, val_auc=0.6796
Epoch 6: train_loss=0.3479, val_auc=0.6807
Epoch 7: train_loss=0.3457, val_auc=0.6839
Epoch 8: train_loss=0.3439, val_auc=0.6928
Epoch 9: train_loss=0.3423, val_auc=0.6911
Epoch 10: train_loss=0.3413, val_auc=0.6890
Epoch 11: train_loss=0.3409, val_auc=0.6965
Epoch 12: train_loss=0.3393, val_auc=0.6967
Epoch 13: train_loss=0.3379, val_auc=0.7005
Epoch 14: train_loss=0.3358, val_auc=0.6997
Epoch 15: train_loss=0.3343, val_auc=0.6992
Epoch 16: train_loss=0.3329, val_auc=0.7021
Epoch 17: train_loss=0.3319, val_auc=0.7012
Epoch 18: train_loss=0.3317, val_auc=0.6987
Epoch 19: train_loss=0.3307, val_auc=0.7065
Epoch 20: train_loss=0.3308, val_auc=0.7067
Epoch 21: train_loss=0.3292, val_auc=0.7037
Epoch 22: train_loss=0.3292, val_auc=0.7092
Epoch 23: train_loss=0.3284, val_auc=0.7025
Epoch 24: train_loss=0.3271, val_auc=0.7059
Epoch 25: train_loss=0.3268, val_auc=0.7051
Epoch 26: train_loss=0.3266, val_auc=0.7021
Epoch 27: train_loss=0.3270, val_auc=0.7078
Epoch 28: train_loss=0.3258, val_auc=0.7088
Epoch 29: train_loss=0.3259, val_auc=0.7067
Epoch 30: train_loss=0.3268, val_auc=0.7120
GraphSAGE ROC-AUC: val=0.7118, test=0.6467
Training complete. Predictions saved to ./models_strong
