Baseline ROC-AUC: val=0.7547, test=0.7026
Epoch 1: train_loss=1.2743, val_auc=0.3960
Epoch 2: train_loss=0.4074, val_auc=0.4200
Epoch 3: train_loss=0.3710, val_auc=0.4207
Epoch 4: train_loss=0.3600, val_auc=0.4298
Epoch 5: train_loss=0.3579, val_auc=0.4466
Epoch 6: train_loss=0.3549, val_auc=0.4196
Epoch 7: train_loss=0.3529, val_auc=0.4364
Epoch 8: train_loss=0.3522, val_auc=0.4120
Epoch 9: train_loss=0.3515, val_auc=0.4565
Epoch 10: train_loss=0.3511, val_auc=0.4680
Epoch 11: train_loss=0.3559, val_auc=0.5001
Epoch 12: train_loss=0.3565, val_auc=0.5013
Epoch 13: train_loss=0.3533, val_auc=0.5001
Epoch 14: train_loss=0.3531, val_auc=0.5001
Epoch 15: train_loss=0.3530, val_auc=0.5010
Epoch 16: train_loss=0.3519, val_auc=0.5362
Epoch 17: train_loss=0.3505, val_auc=0.4612
Epoch 18: train_loss=0.3503, val_auc=0.4231
Epoch 19: train_loss=0.3495, val_auc=0.4311
Epoch 20: train_loss=0.3495, val_auc=0.4449
GAT ROC-AUC: val=0.4471, test=0.4827
Training complete. Predictions saved to models
